web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
1624189734-2020,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Pavao Pervan,Schweiz,Angreb,3.998.000,"0,4%"
1624189734-2271,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Thibaut Courtois,Ungarn,Forsvar,2.640.000,"0,0%"
1624189734-2183,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Che Adams,Ungarn,Mål,3.017.000,"0,2%"
1624189734-2346,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Renato Sanches,Spanien,Angreb,2.490.000,"0,4%"
1624189734-1903,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Nico Elvedi,Portugal,Angreb,5.490.000,"1,0%"
1624189734-2388,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Endre Botka,Slovakiet,Midtbane,2.459.000,"0,0%"
1624189734-2227,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Altay Bayindir,Sverige,Angreb,2.990.000,"0,1%"
1624189734-1986,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jamal Musiala,Frankrig,Forsvar,4.106.000,"4,9%"
1624189734-2212,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Niklas Süle,Ungarn,Mål,2.990.000,"0,0%"
1624189734-1908,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jakub Hromada,Italien,Angreb,5.224.000,"13,5%"
1624189734-2461,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Josko Gvardiol,Schweiz,Forsvar,1.990.000,"0,1%"
1624189734-2435,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Romelu Lukaku,Skotland,Forsvar,1.990.000,"0,1%"
1624189734-2100,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Danny Ward,Frankrig,Forsvar,3.490.000,"0,1%"
1624189734-2284,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Robert Bozenik,Tjekkiet,Midtbane,2.564.000,"0,1%"
1624189734-2131,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Robin Quaison,Tyskland,Forsvar,3.473.000,"3,9%"
1624189734-2464,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Youri Tielemans,Ukraine,Midtbane,1.990.000,"0,1%"
1624189734-2202,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Timo Werner,Tjekkiet,Mål,2.995.000,"0,0%"
1624189734-2218,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Mert Günok,Slovakiet,Mål,2.990.000,"0,0%"
1624189734-2155,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Ozan Tufan,Wales,Midtbane,3.056.000,"0,1%"
1624189734-1932,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jules Kounde,Ukraine,Midtbane,4.885.000,"5,4%"
1624189734-2402,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Timothy Castagne,Ukraine,Midtbane,2.039.000,"0,2%"
1624189734-1976,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Diogo Jota,Portugal,Forsvar,4.197.000,"1,0%"
1624189734-2110,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Loic Nego,Portugal,Midtbane,3.490.000,"1,1%"
1624189734-2186,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Robert Mak,Polen,Forsvar,3.010.000,"0,4%"
1624189734-1925,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Mert Muldur,Frankrig,Angreb,4.990.000,"0,7%"
1624189734-1933,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Teemu Pukki,Sverige,Mål,4.729.000,"1,1%"
1624189734-2101,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Tomasz Kedziora,Frankrig,Forsvar,3.490.000,"0,3%"
1624189734-2303,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Mislav Orsic,Ukraine,Forsvar,2.527.000,"0,1%"
1624189734-2016,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Leo Väisänen,Spanien,Midtbane,4.016.000,"0,6%"
1624189734-2252,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Ales Mandous,Ungarn,Angreb,2.979.000,"0,0%"
1624189734-2453,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jan Gregus,Slovakiet,Forsvar,1.990.000,"0,1%"
1624189734-2069,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jeremy Doku,Frankrig,Midtbane,3.556.000,"40,0%"
1624189734-2163,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Vladimir Coufal,Skotland,Forsvar,3.038.000,"0,0%"
